"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
113,1,0.0226922,124,95,96,4000,0.022692,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.030256,0.0327402,,,1,113,2292.3437,,2292.3437,0.0327402,,0.0327402,0.573086,,0.573086,52.0179,,52.0179,1.25086,,1.25086,41.5855,,0.0327402,,0.0327402
114,1,0.0467018,125,95,97,4000,0.046702,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.0622693,0.0625494,,,1,114,536.5076,,536.5076,0.0625494,,0.0625494,0.134127,,0.134127,25.0560,,25.0560,0.559304,,0.559304,44.7985,,0.0625494,,0.0625494
115,1,0.0781372,126,98,99,4000,0.078137,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.104183,0.106178,,,1,115,1107.0318,,1107.0318,0.106178,,0.106178,0.276758,,0.276758,86.5001,,86.5001,1.95903,,1.95903,44.1545,,0.106178,,0.106178
116,1,0.0993359,127,100,101,4000,0.099336,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.132448,0.132451,,,1,116,39.0000,,39.0000,0.132451,,0.132451,0.00975,,0.00975,3.8741,,3.8741,0.0860932,,0.0860932,44.9989,,0.132451,,0.132451
117,0,0.0435642,128,102,103,1300,0.043564,30,1,5,118,129,103,102,1300,0.043564,30,1,5,0.087128,0.0871288,0.087128,0.0973739,0,117,7.8,891.6000,899.4000,0.0871288,0.0973739,0.0973739,0.006,0.685846,0.685846,0.339799,38.8417,39.1815,0.0113267,1.44698,1.4583,29.9997,26.8433,0.0871288,0.0973739,0.0973739
119,0,0.460322,130,104,105,1300,0.460322,30,1,4,120,131,105,104,1300,0.460322,30,1,4,0.920644,0.920644,0.920644,0.920644,0,119,0.0000,0.0000,0.0000,0.920644,0.920644,0.920644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,0.920644,0.920644,0.920644
121,0,0.0101981,132,104,106,1300,0.010198,30,1,4,122,133,106,104,1300,0.010198,30,1,4,0.020396,0.020396,0.020396,0.020396,0,121,0.0000,0.0000,0.0000,0.020396,0.020396,0.020396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,0.020396,0.020396,0.020396
123,0,0.0403378,134,107,108,1300,0.040338,30,1,5,124,135,108,107,1300,0.040338,30,1,5,0.080676,0.080676,0.080676,0.080676,0,123,0.0000,0.0000,0.0000,0.080676,0.080676,0.080676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,0.080676,0.080676,0.080676
125,0,0.107321,136,107,109,1300,0.107321,30,1,5,126,137,109,107,1300,0.107321,30,1,5,0.214642,0.214642,0.214642,0.214642,0,125,0.0000,0.0000,0.0000,0.214642,0.214642,0.214642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,0.214642,0.214642,0.214642
127,0,0.0856907,138,102,110,1300,0.085691,30,1,5,128,139,110,102,1300,0.085691,30,1,5,0.171382,0.191536,0.171382,0.171384,0,127,891.6000,7.8,899.4000,0.191536,0.171384,0.191536,0.685846,0.006,0.685846,76.4021,0.66839,77.0705,2.84622,0.0222799,2.8685,26.8433,29.9997,0.191536,0.171384,0.191536
129,0,0.0760175,140,111,112,1300,0.076018,30,1,4,130,141,112,111,1300,0.076018,30,1,4,0.152036,0.152105,0.152036,0.157412,0,129,55.2763,488.9029,544.1792,0.152105,0.157412,0.157412,0.0425202,0.376079,0.376079,4.20199,37.1654,41.3674,0.14013,1.28265,1.42278,29.9864,28.9755,0.152105,0.157412,0.157412
131,0,0.0473811,142,111,113,1300,0.047381,30,1,4,132,143,113,111,1300,0.047381,30,1,4,0.094762,0.108553,0.094762,0.0948048,0,131,991.8627,55.2763,1047.1390,0.108553,0.0948048,0.108553,0.762971,0.0425202,0.762971,46.9954,2.61904,49.6145,1.79449,0.0873409,1.88183,26.1887,29.9864,0.108553,0.0948048,0.108553
133,0,0.0903303,144,114,115,1300,0.09033,30,1,5,134,145,115,114,1300,0.09033,30,1,5,0.18066,0.243665,0.18066,0.181676,0,133,1535.4309,195.0000,1730.4309,0.243665,0.181676,0.243665,1.1811,0.15,1.1811,138.6955,17.6143,156.3098,6.23552,0.590448,6.82596,22.2428,29.8322,0.243665,0.181676,0.243665
135,0,0.0892325,146,114,116,1300,0.089233,30,1,5,136,147,116,114,1300,0.089233,30,1,5,0.178466,0.17947,0.178466,0.240706,0,135,195.0000,1535.4309,1730.4309,0.17947,0.240706,0.240706,0.15,1.1811,1.1811,17.4004,137.0111,154.4115,0.583277,6.15979,6.74307,29.8322,22.2428,0.17947,0.240706,0.240706
137,0,0.0621544,148,117,118,1300,0.062154,30,1,5,138,149,118,117,1300,0.062154,30,1,5,0.124308,0.124343,0.124308,0.124422,0,137,43.8660,78.6000,122.4660,0.124343,0.124422,0.124422,0.033743,0.0604615,0.0604615,2.72645,4.8853,7.61175,0.0909074,0.162992,0.2539,29.9915,29.9726,0.124343,0.124422,0.124422
139,0,0.0537613,150,117,119,1300,0.053761,30,1,5,140,151,119,117,1300,0.053761,30,1,5,0.107522,0.10762,0.107522,0.107553,0,139,78.6000,43.8660,122.4660,0.10762,0.107553,0.10762,0.0604615,0.033743,0.0604615,4.22561,2.35828,6.58389,0.140983,0.0786316,0.219614,29.9726,29.9915,0.10762,0.107553,0.10762
141,0,0.0639582,154,119,120,1300,0.063958,30,1,5,142,155,120,119,1300,0.063958,30,1,5,0.127916,0.128033,0.127916,0.127952,0,141,78.6000,43.8660,122.4660,0.128033,0.127952,0.128033,0.0604615,0.033743,0.0604615,5.0271,2.80558,7.83268,0.167723,0.0935459,0.261269,29.9726,29.9915,0.128033,0.127952,0.128033
143,1,0.102718,156,121,80,1300,0.102718,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.205436,0.20649,,,1,143,186.1939,,186.1939,0.20649,,0.20649,0.143226,,0.143226,19.1255,,19.1255,0.640785,,0.640785,29.8469,,0.20649,,0.20649
144,0,0.352657,157,122,123,1300,0.352657,30,1,5,145,158,123,122,1300,0.352657,30,1,5,0.705314,0.705329,0.705314,0.716884,0,144,12.0000,333.0000,345.0000,0.705329,0.716884,0.716884,0.00923077,0.256154,0.256154,4.23188,117.4348,121.6667,0.141066,3.9787,4.11977,29.9994,29.5158,0.705329,0.716884,0.716884
146,1,0.0330139,159,122,124,1300,0.033014,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.066028,0.066028,,,1,146,0.0000,,0.0000,0.066028,,0.066028,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.066028,,0.066028
147,1,0.0304893,160,125,122,1300,0.030489,30,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.060978,0.0609784,,,1,147,6.6,,6.6,0.0609784,,0.0609784,0.00507692,,0.00507692,0.201227,,0.201227,0.00670762,,0.00670762,29.9998,,0.0609784,,0.0609784
148,1,0.0198481,161,125,124,4000,0.019848,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.026464,0.0287313,,,1,148,2341.5977,,2341.5977,0.0287313,,0.0287313,0.585399,,0.585399,46.4760,,46.4760,1.12128,,1.12128,41.4489,,0.0287313,,0.0287313
149,1,0.0337521,162,126,127,1300,0.033752,30,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.067504,0.067504,,,1,149,0.0000,,0.0000,0.067504,,0.067504,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.067504,,0.067504
150,1,0.0264477,163,126,128,6600,0.026448,60,3,2,,-1,-1,-1,-1,,-1,-1,-1,0.026448,0.026448,,,1,150,0.0000,,0.0000,0.026448,,0.026448,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,60.0000,,0.026448,,0.026448
151,1,0.171629,164,129,130,4000,0.171629,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.228839,0.23448,,,1,151,1256.0539,,1256.0539,0.23448,,0.23448,0.314013,,0.314013,215.5753,,215.5753,4.90865,,4.90865,43.9174,,0.23448,,0.23448
152,1,0.0802028,165,131,132,4000,0.080203,45,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.106937,0.107758,,,1,152,700.9092,,700.9092,0.107758,,0.107758,0.175227,,0.175227,56.2150,,56.2150,1.25881,,1.25881,44.6572,,0.107758,,0.107758
