Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
605,413,412,950,135.74,20.0,1,4
610,414,415,950,18.89,20.0,1,5
611,415,414,950,18.89,20.0,1,5
612,414,416,950,74.95,20.0,1,5
613,416,414,950,74.95,20.0,1,5
614,412,417,950,50.85,20.0,1,4
615,417,412,950,50.85,20.0,1,4
616,418,272,950,24.82,20.0,1,5
617,272,418,950,24.82,20.0,1,5
618,418,419,950,56.7,20.0,1,5
619,419,418,950,56.7,20.0,1,5
622,420,421,950,96.81,20.0,1,5
623,421,420,950,96.81,20.0,1,5
624,420,422,950,62.97,20.0,1,4
625,422,420,950,62.97,20.0,1,4
626,417,423,950,83.96,20.0,1,4
627,423,417,950,83.96,20.0,1,4
628,420,424,950,51.36,20.0,1,4
629,424,420,950,51.36,20.0,1,4
630,425,378,950,88.23,20.0,1,4
631,378,425,950,88.23,20.0,1,4
632,425,426,950,92.09,20.0,1,4
633,426,425,950,92.09,20.0,1,4
634,427,388,950,31.66,20.0,1,5
635,388,427,950,31.66,20.0,1,5
636,427,428,950,93.88,20.0,1,5
637,428,427,950,93.88,20.0,1,5
642,429,430,950,76.17,20.0,1,5
643,430,429,950,76.17,20.0,1,5
644,429,431,950,80.25,20.0,1,5
645,431,429,950,80.25,20.0,1,5
646,372,428,950,45.63,20.0,1,5
647,428,372,950,45.63,20.0,1,5
652,431,432,950,96.7,20.0,1,5
653,432,431,950,96.7,20.0,1,5
654,433,424,950,91.66,20.0,1,4
655,424,433,950,91.66,20.0,1,4
656,433,402,950,117.14,20.0,1,5
657,402,433,950,117.14,20.0,1,5
658,433,434,950,88.93,20.0,1,4
659,434,433,950,88.93,20.0,1,4
664,0,435,950,37.71,20.0,1,4
665,435,0,950,37.71,20.0,1,4
666,436,437,950,82.02,20.0,1,5
667,437,436,950,82.02,20.0,1,5
668,436,438,950,82.31,20.0,1,5
669,438,436,950,82.31,20.0,1,5
670,439,440,5400,149.29,40.0,2,3
671,441,442,950,18.77,20.0,1,4
672,442,441,950,18.77,20.0,1,4
673,441,426,950,92.22,20.0,1,4
