ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
209,3245.7582,442.2,3687.9582,0.240775,0.263275,0.263275,0.491782,0.0446667,0.491782,852.9171,116.2009,969.118,13.025,1.94034,14.9653,65.4833,59.8869,0.240775,0.263275,0.263275
211,442.2,3245.7582,3687.9582,0.0481802,0.0581191,0.0581191,0.067,0.327854,0.327854,24.7703,181.8144,206.5847,0.355088,3.14401,3.4991,69.758,57.8288,0.0481802,0.0581191,0.0581191
213,0.0,0.0,0.0,0.365931,0.365931,0.365931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.365931,0.365931,0.365931
215,0.0,0.0,0.0,0.183621,0.183621,0.183621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.183621,0.183621,0.183621
217,0.0,0.0,0.0,1.01426,1.01426,1.01426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,1.01426,1.01426,1.01426
219,64.2,261.0,325.2,0.0156856,0.0159069,0.0159069,0.0458571,0.186429,0.186429,0.586274,2.38345,2.96973,0.0167836,0.0691949,0.0859785,34.9314,34.4455,0.0156856,0.0159069,0.0159069
221,9.6,6.6,16.2,0.088018,0.0880137,0.088018,0.00685714,0.00471429,0.00685714,0.492845,0.338831,0.831676,0.0140829,0.00968151,0.0237644,34.996,34.9977,0.088018,0.0880137,0.088018
223,267.6,73.8,341.4,0.198475,0.195685,0.198475,0.191143,0.0527143,0.191143,30.4727,8.4039,38.8766,0.8852,0.240693,1.12589,34.4246,34.9155,0.198475,0.195685,0.198475
225,9.6,6.6,16.2,0.200666,0.200656,0.200666,0.00685714,0.00471429,0.00685714,1.1236,0.772477,1.89608,0.0321066,0.0220722,0.0541788,34.996,34.9977,0.200666,0.200656,0.200666
227,9.6,6.6,16.2,0.197035,0.197025,0.197035,0.00685714,0.00471429,0.00685714,1.10327,0.758498,1.86177,0.0315256,0.0216728,0.0531984,34.996,34.9977,0.197035,0.197025,0.197035
229,9.6,6.6,16.2,0.207684,0.207673,0.207684,0.00685714,0.00471429,0.00685714,1.1629,0.799491,1.96239,0.0332294,0.0228441,0.0560735,34.996,34.9977,0.207684,0.207673,0.207684
231,6.6,9.6,16.2,0.0281144,0.0281158,0.0281158,0.00471429,0.00685714,0.00685714,0.108233,0.15743,0.265664,0.00309258,0.00449852,0.00759111,34.9977,34.996,0.0281144,0.0281158,0.0281158
233,9.6,6.6,16.2,0.553463,0.553436,0.553463,0.00685714,0.00471429,0.00685714,3.09904,2.13059,5.22964,0.0885541,0.060878,0.149432,34.996,34.9977,0.553463,0.553436,0.553463
235,9.6,6.6,16.2,0.256234,0.256222,0.256234,0.00685714,0.00471429,0.00685714,1.43475,0.98639,2.42114,0.0409975,0.0281844,0.0691819,34.996,34.9977,0.256234,0.256222,0.256234
237,25.8,16.8,42.6,0.200339,0.200291,0.200339,0.0184286,0.012,0.0184286,3.01359,1.96234,4.97594,0.0861458,0.0560816,0.142227,34.9825,34.9908,0.200339,0.200291,0.200339
239,25.8,16.8,42.6,0.260659,0.260597,0.260659,0.0184286,0.012,0.0184286,3.92096,2.55318,6.47414,0.112083,0.0729672,0.185051,34.9825,34.9908,0.260659,0.260597,0.260659
241,0.0,0.0,0.0,0.250258,0.0,0.250258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.250258,0.0,0.250258
242,295.2,835.2,1130.4,0.131959,0.141382,0.141382,0.210857,0.596571,0.596571,22.2917,63.0693,85.361,0.64924,1.96804,2.61728,34.3351,32.0467,0.131959,0.141382,0.141382
244,835.2,295.2,1130.4,0.0378104,0.0352904,0.0378104,0.596571,0.210857,0.596571,16.8669,5.96156,22.8284,0.526321,0.173629,0.69995,32.0467,34.3351,0.0378104,0.0352904,0.0378104
246,25.2,0.0,25.2,0.0683421,0.0683091,0.0683421,0.018,0.0,0.018,1.00414,0.0,1.00414,0.0287037,0.0,0.0287037,34.9831,35.0,0.0683421,0.0683091,0.0683421
248,0.0,25.2,25.2,0.234125,0.234238,0.234238,0.0,0.018,0.018,0.0,3.44164,3.44164,0.0,0.0983801,0.0983801,35.0,34.9831,0.234125,0.234238,0.234238
