ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VKmT,BA_VKmT,Tot_VKmT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed,AB_VDF,BA_VDF,Max_VDF
103,31.8,0.0,31.8,0.053638,0.05363,0.053638,0.0244615,0.0,0.0244615,0.852717,0.0,0.852717,0.0284282,0.0,0.0284282,29.9955,30.0,0.053638,0.05363,0.053638
105,123.5879,1308.2193,1431.8072,0.0795273,0.0994366,0.0994366,0.0950676,1.00632,1.00632,4.90322,51.9023,56.8055,0.16381,2.16808,2.33189,29.9324,23.9393,0.0795273,0.0994366,0.0994366
107,1308.2193,123.5879,1431.8072,0.155737,0.124555,0.155737,1.00632,0.0950676,1.00632,81.2888,7.67938,88.9682,3.39563,0.256558,3.65219,23.9393,29.9324,0.155737,0.124555,0.155737
109,51.0802,25.8,76.8802,0.333575,0.333479,0.333575,0.0392925,0.0198462,0.0392925,8.51625,4.30145,12.8177,0.283985,0.143396,0.427381,29.9884,29.997,0.333575,0.333479,0.333575
111,25.8,51.0802,76.8802,0.205052,0.205111,0.205111,0.0198462,0.0392925,0.0392925,2.64491,5.23654,7.88146,0.0881724,0.174619,0.262791,29.997,29.9884,0.205052,0.205111,0.205111
113,2292.3437,0.0,2292.3437,0.0327402,0.0,0.0327402,0.573086,0.0,0.573086,52.0179,0.0,52.0179,1.25086,0.0,1.25086,41.5855,0.0,0.0327402,0.0,0.0327402
114,536.5076,0.0,536.5076,0.0625494,0.0,0.0625494,0.134127,0.0,0.134127,25.056,0.0,25.056,0.559304,0.0,0.559304,44.7985,0.0,0.0625494,0.0,0.0625494
115,1107.0318,0.0,1107.0318,0.106178,0.0,0.106178,0.276758,0.0,0.276758,86.5001,0.0,86.5001,1.95903,0.0,1.95903,44.1545,0.0,0.106178,0.0,0.106178
116,39.0,0.0,39.0,0.132451,0.0,0.132451,0.00975,0.0,0.00975,3.8741,0.0,3.8741,0.0860932,0.0,0.0860932,44.9989,0.0,0.132451,0.0,0.132451
117,7.8,891.6,899.4,0.0871288,0.0973739,0.0973739,0.006,0.685846,0.685846,0.339799,38.8417,39.1815,0.0113267,1.44698,1.4583,29.9997,26.8433,0.0871288,0.0973739,0.0973739
119,0.0,0.0,0.0,0.920644,0.920644,0.920644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.920644,0.920644,0.920644
121,0.0,0.0,0.0,0.020396,0.020396,0.020396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.020396,0.020396,0.020396
123,0.0,0.0,0.0,0.080676,0.080676,0.080676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.080676,0.080676,0.080676
125,0.0,0.0,0.0,0.214642,0.214642,0.214642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.214642,0.214642,0.214642
127,891.6,7.8,899.4,0.191536,0.171384,0.191536,0.685846,0.006,0.685846,76.4021,0.66839,77.0705,2.84622,0.0222799,2.8685,26.8433,29.9997,0.191536,0.171384,0.191536
129,55.2763,488.9029,544.1792,0.152105,0.157412,0.157412,0.0425202,0.376079,0.376079,4.20199,37.1654,41.3674,0.14013,1.28265,1.42278,29.9864,28.9755,0.152105,0.157412,0.157412
131,991.8627,55.2763,1047.139,0.108553,0.0948048,0.108553,0.762971,0.0425202,0.762971,46.9954,2.61904,49.6145,1.79449,0.0873409,1.88183,26.1887,29.9864,0.108553,0.0948048,0.108553
133,1535.4309,195.0,1730.4309,0.243665,0.181676,0.243665,1.1811,0.15,1.1811,138.6955,17.6143,156.3098,6.23552,0.590448,6.82596,22.2428,29.8322,0.243665,0.181676,0.243665
135,195.0,1535.4309,1730.4309,0.17947,0.240706,0.240706,0.15,1.1811,1.1811,17.4004,137.0111,154.4115,0.583277,6.15979,6.74307,29.8322,22.2428,0.17947,0.240706,0.240706
137,43.866,78.6,122.466,0.124343,0.124422,0.124422,0.033743,0.0604615,0.0604615,2.72645,4.8853,7.61175,0.0909074,0.162992,0.2539,29.9915,29.9726,0.124343,0.124422,0.124422
139,78.6,43.866,122.466,0.10762,0.107553,0.10762,0.0604615,0.033743,0.0604615,4.22561,2.35828,6.58389,0.140983,0.0786316,0.219614,29.9726,29.9915,0.10762,0.107553,0.10762
141,78.6,43.866,122.466,0.128033,0.127952,0.128033,0.0604615,0.033743,0.0604615,5.0271,2.80558,7.83268,0.167723,0.0935459,0.261269,29.9726,29.9915,0.128033,0.127952,0.128033
143,186.1939,0.0,186.1939,0.20649,0.0,0.20649,0.143226,0.0,0.143226,19.1255,0.0,19.1255,0.640785,0.0,0.640785,29.8469,0.0,0.20649,0.0,0.20649
144,12.0,333.0,345.0,0.705329,0.716884,0.716884,0.00923077,0.256154,0.256154,4.23188,117.4348,121.6667,0.141066,3.9787,4.11977,29.9994,29.5158,0.705329,0.716884,0.716884
146,0.0,0.0,0.0,0.066028,0.0,0.066028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.066028,0.0,0.066028
147,6.6,0.0,6.6,0.0609784,0.0,0.0609784,0.00507692,0.0,0.00507692,0.201227,0.0,0.201227,0.00670762,0.0,0.00670762,29.9998,0.0,0.0609784,0.0,0.0609784
148,2341.5977,0.0,2341.5977,0.0287313,0.0,0.0287313,0.585399,0.0,0.585399,46.476,0.0,46.476,1.12128,0.0,1.12128,41.4489,0.0,0.0287313,0.0,0.0287313
149,0.0,0.0,0.0,0.067504,0.0,0.067504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.067504,0.0,0.067504
150,0.0,0.0,0.0,0.026448,0.0,0.026448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.026448,0.0,0.026448
151,1256.0539,0.0,1256.0539,0.23448,0.0,0.23448,0.314013,0.0,0.314013,215.5753,0.0,215.5753,4.90865,0.0,4.90865,43.9174,0.0,0.23448,0.0,0.23448
152,700.9092,0.0,700.9092,0.107758,0.0,0.107758,0.175227,0.0,0.175227,56.215,0.0,56.215,1.25881,0.0,1.25881,44.6572,0.0,0.107758,0.0,0.107758
153,535.5442,54.0,589.5442,0.176854,0.169729,0.176854,0.411957,0.0415385,0.411957,45.4291,4.58071,50.0099,1.57855,0.152756,1.73131,28.779,29.9871,0.176854,0.169729,0.176854
155,28.8,377.1442,405.9442,0.0299677,0.0305945,0.0305945,0.0221538,0.290111,0.290111,0.431482,5.65038,6.08186,0.0143845,0.192309,0.206693,29.9963,29.3818,0.0299677,0.0305945,0.0305945
157,25.2,158.4,183.6,0.118439,0.118868,0.118868,0.0193846,0.121846,0.121846,1.49219,9.3795,10.8717,0.0497444,0.31381,0.363555,29.9972,29.8891,0.118439,0.118868,0.118868
159,97.2,28.8,126.0,0.155008,0.154811,0.155008,0.0747692,0.0221538,0.0747692,7.52289,2.229,9.7519,0.251113,0.0743093,0.325423,29.9581,29.9963,0.155008,0.154811,0.155008
161,28.8,377.1442,405.9442,0.181112,0.1849,0.1849,0.0221538,0.290111,0.290111,2.6077,34.1485,36.7562,0.0869339,1.16223,1.24917,29.9963,29.3818,0.181112,0.1849,0.1849
163,580.6268,16.6061,597.2329,0.022379,0.0213169,0.022379,0.446636,0.0127739,0.446636,6.18832,0.176988,6.36531,0.216565,0.00589983,0.222464,28.5749,29.9988,0.022379,0.0213169,0.022379
165,136.8885,0.0,136.8885,1.42235,0.0,1.42235,0.0342221,0.0,0.0342221,145.9848,0.0,145.9848,3.24506,0.0,3.24506,44.9868,0.0,1.42235,0.0,1.42235
166,111.0,171.0,282.0,0.192071,0.192551,0.192551,0.0853846,0.131538,0.131538,10.6406,16.3922,27.0328,0.355332,0.548771,0.904103,29.9454,29.8708,0.192071,0.192551,0.192551
168,1275.5724,16.6061,1292.1785,0.560788,0.452014,0.560788,0.98121,0.0127739,0.98121,288.2768,3.75294,292.0298,11.9221,0.125103,12.0472,24.18,29.9988,0.560788,0.452014,0.560788
